method,fill_rate_target,threshold,fill_rate_actual,precision,recall,f1,control_fp,rare_support,coverage_fusion,coverage_fallback
raw,0.02,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.04,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.06,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.08,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.081,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.1,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
raw,0.12,0.0,1.0,0.2370689655070229,0.9999999998181818,0.38327525819907976,1.0,1.0,,
gene_median,0.02,1.0202878713607788,0.020165,0.9999999900000002,0.018181818178512395,0.035714285350765304,0.020165,0.008029978586723769,,
gene_median,0.04,1.013529896736145,0.040335,0.2857142853061225,0.03636363635702479,0.06451612700832472,0.040335,0.00820842255531763,,
gene_median,0.06,1.0090782642364502,0.06015,0.28571428551020406,0.07272727271404958,0.11594202571728637,0.06015,0.008297644539614561,,
gene_median,0.08,1.0052175521850586,0.08071,0.2352941175086505,0.07272727271404958,0.11111110747299392,0.08071,0.008386866523911492,,
gene_median,0.081,1.0051077604293823,0.081335,0.2352941175086505,0.07272727271404958,0.11111110747299392,0.081335,0.008386866523911492,,
gene_median,0.1,1.0018247365951538,0.1005,0.1999999999,0.07272727271404958,0.10666666272711124,0.1005,0.008476088508208423,,
gene_median,0.12,0.9981319904327393,0.120115,0.20833333324652778,0.09090909089256198,0.12658227421887533,0.120115,0.008476088508208423,,
svd_impute,0.02,1.1627953529357906,0.02,0.6363636357851239,0.12727272724958677,0.21212120927915518,0.02,0.006602426837972877,,
svd_impute,0.04,0.9359372067451476,0.04,0.695652173610586,0.2909090908561983,0.4102564059927679,0.04,0.01873661670235546,,
svd_impute,0.06,0.7962433075904846,0.06,0.52499999986875,0.3818181817487603,0.44210525818947377,0.06,0.033101356174161316,,
svd_impute,0.08,0.7031820225715645,0.08,0.4680851062833861,0.3999999999272727,0.4313725439657824,0.08,0.04800142755174875,,
svd_impute,0.081,0.699224747478962,0.081,0.4583333332378472,0.3999999999272727,0.42718446095956264,0.081,0.0487152034261242,,
svd_impute,0.1,0.6345681726932527,0.1,0.4310344826843044,0.4545454544628099,0.44247787103140424,0.1,0.06307994289793005,,
svd_impute,0.12,0.5805921888351441,0.12,0.39393939387970617,0.4727272726413223,0.4297520610859914,0.12,0.07699857244825124,,
graph_smooth,0.02,1.2504358839988705,0.02,0.9999999989999999,0.18181818178512396,0.3076923049940829,0.02,0.004907209136331192,,
graph_smooth,0.04,1.023242716789244,0.04,0.8499999995749999,0.30909090903471076,0.45333332930133335,0.04,0.012758743754461099,,
graph_smooth,0.06,0.8896450459957123,0.06,0.7407407404663923,0.3636363635702479,0.48780487351279006,0.06,0.02346538187009279,,
graph_smooth,0.08,0.7946863651275635,0.08,0.6470588233391004,0.3999999999272727,0.49438201763918704,0.08,0.03417201998572448,,
graph_smooth,0.081,0.7915741920471195,0.081,0.6470588233391004,0.3999999999272727,0.49438201763918704,0.081,0.03497501784439686,,
graph_smooth,0.1,0.7259094715118408,0.100005,0.6666666664814814,0.43636363628429753,0.5274725225745682,0.100005,0.04648465381870093,,
graph_smooth,0.12,0.6686402130126952,0.12,0.6499999998375,0.4727272726413223,0.5473684160620499,0.12,0.05817273376159886,,
MAGIC,0.02,1.2911705303192118,0.02,0.8571428559183674,0.10909090907107438,0.19354838503121752,0.02,0.006334760885082084,,
MAGIC,0.04,1.045369119644163,0.04,0.809523809138322,0.30909090903471076,0.44736841693559565,0.04,0.016595289079229122,,
MAGIC,0.06,0.9057860302925109,0.06,0.7499999997321428,0.3818181817487603,0.506024091792713,0.06,0.028907922912205567,,
MAGIC,0.08,0.8101402997970588,0.08,0.6388888887114197,0.41818181810578514,0.5054945006013768,0.08,0.040506780870806565,,
MAGIC,0.081,0.8062806573510171,0.081,0.6388888887114197,0.41818181810578514,0.5054945006013768,0.081,0.04077444682369736,,
MAGIC,0.1,0.7350156903266908,0.1,0.6315789472022161,0.43636363628429753,0.5161290273141405,0.1,0.054425410421127765,,
MAGIC,0.12,0.6767637252807616,0.12,0.510638297763694,0.43636363628429753,0.4705882302326029,0.12,0.06941470378301214,,
scVI,0.02,1.3001520180702204,0.02,0.8999999991,0.16363636360661157,0.27692307423431956,0.02,0.005710206995003569,,
scVI,0.04,1.0539846086502063,0.04,0.772727272376033,0.30909090903471076,0.44155843736211847,0.04,0.014543183440399714,,
scVI,0.06,0.916037448644638,0.06,0.7142857140306123,0.3636363635702479,0.48192770625635073,0.06,0.02560670949321913,,
scVI,0.08,0.8197801136970526,0.08,0.6486486484733381,0.43636363628429753,0.52173912551276,0.08,0.036491791577444685,,
scVI,0.081,0.8160656062364581,0.081,0.6486486484733381,0.43636363628429753,0.52173912551276,0.081,0.03756245538900785,,
scVI,0.1,0.7469875693321228,0.1,0.6136363634969008,0.4909090908198347,0.545454540406081,0.1,0.049339757316202715,,
scVI,0.12,0.6853661012649532,0.12,0.6041666665407986,0.5272727271768595,0.5631067910302574,0.12,0.06290149892933619,,
latent_truth_scvi_select,0.02,-0.008166442885996446,0.02,0.7777777769135802,0.12727272724958677,0.21874999751464844,0.02,0.10858315488936474,,
latent_truth_scvi_select,0.04,-0.18320817589759864,0.04,0.8333333328703704,0.27272727267768593,0.4109589002814787,0.04,0.19512847965738758,,
latent_truth_scvi_select,0.06,-0.2716637068986893,0.06,0.6333333331222222,0.34545454539173553,0.4470588188567474,0.06,0.26088508208422556,,
latent_truth_scvi_select,0.08,-0.3258241808414456,0.08,0.5675675674141709,0.3818181817487603,0.45652173422258985,0.08,0.31290149892933616,,
latent_truth_scvi_select,0.081,-0.3279268324673176,0.081,0.5675675674141709,0.3818181817487603,0.45652173422258985,0.081,0.3147751605995717,,
latent_truth_scvi_select,0.1,-0.3646987557411194,0.1,0.534883720805841,0.41818181810578514,0.4693877500812162,0.1,0.3526945039257673,,
latent_truth_scvi_select,0.12,-0.3936246681213379,0.12,0.479999999904,0.43636363628429753,0.4571428520671202,0.12,0.3881156316916488,,
safe_latent_truth_scvi_select,0.02,1.3983492541313165,0.02,0.6363636357851239,0.12727272724958677,0.21212120927915518,0.02,0.0059778729478943615,0.1,0.9
safe_latent_truth_scvi_select,0.04,1.1531565999984736,0.04,0.6249999997395833,0.27272727267768593,0.3797468311168082,0.04,0.014186295503211991,0.1,0.9
safe_latent_truth_scvi_select,0.06,1.007477250099182,0.06,0.657142856955102,0.41818181810578514,0.5111111062444444,0.06,0.023554603854389723,0.1,0.9
safe_latent_truth_scvi_select,0.08,0.9065927600860603,0.08,0.6190476189002267,0.4727272726413223,0.5360824692060794,0.08,0.03390435403283369,0.1,0.9
safe_latent_truth_scvi_select,0.081,0.9025304669737818,0.081,0.6190476189002267,0.4727272726413223,0.5360824692060794,0.081,0.034261241970021415,0.1,0.9
safe_latent_truth_scvi_select,0.1,0.8283169150352478,0.1,0.539999999892,0.4909090908198347,0.514285709199093,0.1,0.04202355460385439,0.1,0.9
safe_latent_truth_scvi_select,0.12,0.767378785610199,0.12,0.5090909089983471,0.5090909089983471,0.5090909039983471,0.12,0.05067808708065667,0.1,0.9
